Map,Winner,Winner race,Loser,Loser race
Concealed Hill,Lyn,o,Moon,n
Northern Isles,TGW,u,Edo,u
Concealed Hill,Happy,u,Hankk,o
Amazonia,Deuce,u,Fish,h
Last Refuge,Sheik,u,Deathnote,h
Terenas Stand LV,Verdi,h,Wiz,n
Echo Isles,Soin,o,Cement,u
Last Refuge,Mythos,u,Sooo Unreal,h
Northern Isles,ArminvB,o,Ag3nt,h
Northern Isles,Edo,u,STeiLz,o
Northern Isles,Lin Guagua,o,Foggy,n
Echo Isles,Sheik,u,YoungUndead,u
Talonrift Coast,Sheik,u,Lion9,o
Gold Port,Sheik,u,Neytpoh,n
Last Refuge,SaiDe,n,ToD,h
Last Refuge,Infi,u,Chaemiko,h
Northern Isles,Happy,u,Blade,h
Twisted Meadows,FoCuS,o,Yange,n
Concealed Hill,FoCuS,o,XiaoKai,u
Northern Isles,Happy,u,MisterWinner,h
Northern Isles,Ceron,n,Sooo Unreal,h
Concealed Hill,Sini,n,15sui,h
Concealed Hill,Daille,h,ZeLL,h
Terenas Stand LV,Foggy,n,Deathnote,h
Northern Isles,Neytpoh,n,Please,n
Echo Isles,Mosura,u,Coremix,o
Last Refuge,Edo,u,TGW,u
Echo Isles,Sok,h,Pcg 123,u
Northern Isles,SpoKi,h,Eightyfour,u
Echo Isles,Drunken,h,N4p0muk,o
Turtle Rock,Sok,h,FoCuS,o
Concealed Hill,15sui,h,Alice,n
Autumn Leaves,Helbisch,u,Hunt,h
Last Refuge,Dise,n,Sheik,u
Concealed Hill,Sonik,n,MisterWinner,h
Amazonia,Foggy,n,FeeLx,h
Amazonia,HawK,h,Please,n
Concealed Hill,LawLiet,n,Sok,h
Echo Isles,Moon,n,Michael,u
Terenas Stand LV,MrKenshin,o,MrOleh,o
Northern Isles,Lyn,o,Fly100%,o
Amazonia,P1nke,o,ThundeR,h
Concealed Hill,Patco,n,Sunny,h
Last Refuge,Minigun,n,Alexchen,n
Last Refuge,FoCuS,o,Chaemiko,h
Zul'Alor,Blade,h,Dise,n
Terenas Stand LV,SaysO,u,Soulglider,h
Northern Isles,SeTh,n,BlaST9Z,n
Concealed Hill,VortiX,u,Happy,u
Amazonia,Michael,u,Sonik,n
Echo Isles,Eer0,u,15sui,h
Last Refuge,Lyn,o,Pink,u
Terenas Stand LV,CoopeR,o,ReaVeR,h
Last Refuge,HawK,h,Ludovik,n
Echo Isles,Dise,n,Cement,u
Last Snow,Ajk,n,Mafe,h
Last Refuge,X3-DemoN,h,Load (Russian player),o
Northern Isles,Ceron,n,SaysO,u
Last Refuge,HawK,h,Happy,u
Concealed Hill,FoCuS,o,Foggy,n
Amazonia,XiaoKai,u,Sok,h
Terenas Stand LV,Sonik,n,Sheik,u
Amazonia,HawK,h,MisterWinner,h
Concealed Hill,Sheik,u,Neytpoh,n
Echo Isles,Photonman24,u,TnT600X,o
Terenas Stand LV,ThundeR,h,Sonik,n
Last Refuge,FiZiX,u,Hunter,n
Concealed Hill,P1nke,o,Ze1Ko,h
Northern Isles,Sok,h,Soin,o
Terenas Stand LV,TeRRoR,u,Chiko,o
Northern Isles,Bizzare,o,TGW,h
Concealed Hill,Chaemiko,h,XiaoKai,u
Northern Isles,ThundeR,h,15sui,u
Autumn Leaves,Drunken,h,Shocky,u
Northern Isles,Fortitude,h,Colorful,n
Last Refuge,Ower,u,MisterWinner,h
Last Refuge,Sok,h,Soin,o
Echo Isles,Colorful,n,Michael,u
Northern Isles,Rackanitsu,h,Totoro,n
Echo Isles,Lyn,o,Eer0,u
Concealed Hill,MrKenshin,o,Schlautier,o
Last Refuge,JohnnyCage,h,Sheik,u
Northern Isles,Divine,u,Phil,h
Northern Isles,FoCuS,o,Fly100%,o
Talonrift Coast,X3-DemoN,h,Mafe,h
Terenas Stand LV,TeRRoR,u,Moon (Bulgarian player),n
Last Refuge,Deathnote,h,Neytpoh,n
Last Refuge,WaN,u,JokeRn,n
Last Refuge,Soin,o,XiaoKai,u
Concealed Hill,CrunCher,h,Ark,n
Northern Isles,TH000,h,Lin Guagua,o
Gold Port,Happy,u,Sheik,u
Amazonia,Rav3n,u,MisterWinner,h
Last Refuge,Spiral,n,SaiDe,n
Concealed Hill,Wiz,n,Deathnote,h
Amazonia,Happy,u,ThorZaIN,h
Terenas Stand LV,HawK,h,Blade,h
Northern Isles,Ark,n,SaysO,u
Last Refuge,INSUPERABLE,u,RavinDrannor,o
Concealed Hill,LawLiet,h,Sok,o
Concealed Hill,WFZ,u,Yange,n
Advantage,TGW,r,JohnnyCage,r
Concealed Hill,Hitman,o,KiWiKaKi,o
Northern Isles,Happy,u,Sonik,n
Twisted Meadows,Deuce,u,Duck,u
Northern Isles,EnTe,u,Edo,u
Echo Isles,Hankk,o,AtheistP,h
Northern Isles,Iva,h,FeeLx,h
Northern Isles,Happy,u,Foggy,n
Concealed Hill,Takulla,o,Sauce (American player),u
Northern Isles,Kaho,n,Leezeay,o
Concealed Hill,Aeb,u,Rav3n,u
Autumn Leaves,Edo,u,Hipposaur,h
Last Refuge,Sorah,o,Lnclnerator,o
Last Refuge,ReseT,n,Argus,o
Northern Isles,JohnnyCage,h,Sheik,u
Concealed Hill,Happy,u,Sonik,n
Last Refuge,Rici,o,Cement,u
Turtle Rock,FoCuS,o,Fly100%,o
Twisted Meadows,Aeb,u,ImbaImba,n
Last Refuge,Fortitude,h,FoCuS,o
Echo Isles,Sok,h,Lin Guagua,o
Concealed Hill,ArminvB,o,Biko,u
Northern Isles,TGW,u,EnTe,u
Last Refuge,Ze1Ko,h,ZeLL,h
Northern Isles,Happy,u,ToD,h
Echo Isles,Fish,h,MisterWinner,h
Northern Isles,Soin,o,XiaoKai,u
Autumn Leaves,Sonik,n,Drunken,h
Twisted Meadows,Moon,n,Eer0,u
Northern Isles,JarAsH,o,Nujabes,h
Last Refuge,Foggy,n,Happy,u
Amazonia,FoCuS,o,Sok,h
Terenas Stand LV,TeRRoR,u,Sheik,u
Amazonia,Sonik,n,Dise,n
Northern Isles,Changer,h,Helbisch,u
Echo Isles,Rigety,o,PalleS,h
Amazonia,Sonik,n,CoopeR,o
Turtle Rock,Blade,h,Sonik,n
Northern Isles,Changer,h,ActionMarc,TBD
Concealed Hill,Sheik,u,Infinity,h
Concealed Hill,Happy,u,Foggy,n
Twisted Meadows,Fortitude,h,FoCuS,o
Last Refuge,Cement,u,ParadoCS,o
Northern Isles,HawK,h,Blade,h
Northern Isles,Subutai,u,VLADZISLAU,o
Concealed Hill,Happy,u,XeLSinG,o
Echo Isles,Loopin,u,Hitking,h
Concealed Hill,CoopeR,o,Deathnote,h
Turtle Rock,MisterWinner,h,HammBamm,h
Amazonia,JohnnyCage,o,Dise,n
Northern Isles,Rav3n,u,MisterWinner,h
Last Refuge,MisterWinner,h,XizaRtt,n
Last Refuge,Fortitude,h,LawLiet,n
Echo Isles,Fortitude,h,Colorful,n
Last Refuge,Neytpoh,n,Dise,n
Northern Isles,Ice orc,o,世界尽头,n
Concealed Hill,XeLSinG,o,Krawty,n
Turtle Rock,LawLiet,n,Fly100%,o
Terenas Stand LV,Rcknew,n,Photonman24,u
Echo Isles,Sok,h,Sheik,u
Last Refuge,PalleS,h,MisterWinner,h
Last Refuge,Foggy,n,Happy,u
Amazonia,Sonik,n,Fish,h
Northern Isles,Mango,u,Decadent God,o
Concealed Hill,Mosura,u,FaiLo,o
Last Refuge,Mythos,u,Meecro,n
Northern Isles,Happy,u,Sheik,u
Last Refuge,Mosura,u,Fish,h
Tidehunters,Zpanzzzzz,n,Mafe,h
Concealed Hill,Lyn,o,Foggy,n
Northern Isles,Happy,u,ShaDai,u
Echo Isles,Seal,o,BlaST9Z,h
Concealed Hill,BATOu,h,Totoro,n
Twisted Meadows,Happy,u,Sonik,n
Amazonia,Infi,h,LawLiet,n
Last Refuge,YoungUndead,u,Tripode,u
Northern Isles,Sheik,u,Cash,o
Last Snow,Blade,h,Cash,o
Last Refuge,Soin,o,Ice orc,o
Northern Isles,Chaemiko,h,FoCuS,o
Concealed Hill,Dise,n,ThorZaIN,h
Concealed Hill,LawLiet,n,Michael,u
Concealed Hill,MoonAndino,n,Takulla,o
Terenas Stand LV,Pride,o,Deuce,u
Northern Isles,Sonik,n,XlorD,u
Concealed Hill,Hipposaur,h,ArminvB,o
Turtle Rock,MisterWinner,h,JadeDark,n
Echo Isles,VortiX,u,ThorZaIN,h
Last Refuge,15sui,h,Sini,n
Concealed Hill,VortiX,u,CoopeR,o
Amazonia,Pokey,n,Alexchen,n
Autumn Leaves,RaZZoRMaN,o,ToM,o
Last Refuge,Eer0,u,Fly100%,o
Last Refuge,Happy,u,SushiLicious,u
Terenas Stand LV,Spiral,n,Ze1Ko,h
Amazonia,Mosura,u,Crrpt,o
Last Refuge,Helbisch,u,ArminvB,o
Amazonia,Dise,n,Superhirn,o
Concealed Hill,Foggy,n,Sonik,n
Turtle Rock,Eer0,u,Lyn,o
Last Refuge,TH000,h,15sui,n
Shattered Exile,NickMoris,n,Petr22483,r
Northern Isles,WaN,u,Deathnote,h
Northern Isles,XiaoKK,o,Passion,n
Last Refuge,Mosura,u,ToM,o
Twisted Meadows,Neytpoh,n,Sheik,u
Echo Isles,Please,n,Edo,u
Northern Isles,Edo,u,ToD,h
Northern Isles,Happy,u,Deadmouz,u
Twisted Meadows,HawK,h,Inspired,h
Last Refuge,Mosura,u,Gonz,n
Terenas Stand LV,ThundeR,h,Sonik,n
Concealed Hill,Dise,n,Sonik,n
Last Refuge,P1nke,o,Sonik,n
Turtle Rock,DeMiGoD,o,WatchMeCarry,n
Last Refuge,INSUPERABLE,u,Inspired,h
Turtle Rock,Michael,u,XiaoKai,o
Turtle Rock,LawLiet,n,Fortitude,h
Northern Isles,SaiDe,n,BlaST9Z,n
Echo Isles,Foggy,n,Wiz,n
Terenas Stand LV,Alice,n,Fortitude,h
Concealed Hill,Sixb0nes,h,AtheistP,h
Northern Isles,Pink,u,XiaoKai,o
Concealed Hill,GoStyle,o,WTii,h
Concealed Hill,GodFather,u,Hipposaur,h
Northern Isles,TeRRoR,u,Biko,u
Amazonia,Neytpoh,n,Gonz,n
Concealed Hill,XlorD,u,HoT,n
Northern Isles,Happy,u,Chiko,o
Concealed Hill,Ice orc,o,War3Orcer0,o
Northern Isles,Aeb,u,BoB IsNice,n
Turtle Rock,X3-DemoN,h,Lilyal,u
Northern Isles,ALe,n,Scimitar,o
Echo Isles,P1nke,o,Hipposaur,h
Last Refuge,ToM,o,BlaST9Z,n
Echo Isles,无道oc,o,XiaoKai,o
Amazonia,Foggy,n,P1nke,o
Last Refuge,Michael,u,LawLiet,n
Concealed Hill,Fly100%,o,LawLiet,n
Last Refuge,Ze1Ko,h,ZeLL,h
Amazonia,Fish,h,Endarspire,n
Northern Isles,Duck,u,Soulglider,h
Terenas Stand LV,Yange,n,Zhou Xixi,n
Concealed Hill,Sok,h,Lyn,o
Concealed Hill,BlaST9Z,n,Ze1Ko,h
Last Refuge,Happy,u,Sonik,n
Autumn Leaves,ArminvB,o,Crrpt,o
Concealed Hill,Mythos,u,Ice (Brazilian player),u
Last Refuge,Edo,u,WaN,u
Northern Isles,Neytpoh,n,Paladyn,n
Amazonia,Fish,h,MisterWinner,h
Concealed Hill,Please,n,TGW,o
Northern Isles,Meecro,n,HartCrane,o
Zul'Alor,MisterWinner,h,Mafe,h
Talonrift Coast,Neytpoh,n,MisterWinner,h
Echo Isles,JohnnyCage,h,CaSpeND,u
Concealed Hill,LawLiet,n,Chaemiko,h
Concealed Hill,SaiDe,n,ThorZaIN,h
Echo Isles,Foggy,n,Cement,u
Twisted Meadows,Happy,u,NoobKing,n
Last Refuge,Hipposaur,h,CaHeK,u
Amazonia,Alexchen,n,Pokey,n
Amazonia,Biko,u,Ag3nt,h
Amazonia,Flopoks,u,XeLSinG,o
Concealed Hill,Cash,o,Neytpoh,n
Northern Isles,ArminvB,o,ToM,o
Terenas Stand LV,TGW,u,Gonz,n
Concealed Hill,Starshaped,n,SyDe,u
Last Refuge,Fly100%,o,Soin,o
Echo Isles,Philiwarrior,o,ChriS,u
Last Refuge,Sonik,n,Skutt,u
Last Refuge,Sonik,n,Please,n
Northern Isles,Starshaped,n,HoT,n
Terenas Stand LV,Dise,n,Fish,h
Concealed Hill,YaGami,h,D4rK,o
Concealed Hill,XiaoKai,o,Pink,u
Concealed Hill,Sheik,u,INSUPERABLE,u
Amazonia,Neytpoh,n,MisterWinner,h
Echo Isles,Rigety,o,Edo,u
Last Refuge,HawK,h,Ludovik,n
Echo Isles,ToD,h,Kevin,n
Last Refuge,Fortitude,h,Alice,n
Concealed Hill,Michael,u,FoCuS,o
Concealed Hill,Foggy,n,Divine,u
Concealed Hill,Michael,u,Deathnote,h
Northern Isles,Sok,h,Please,n
Terenas Stand LV,ThorZaIN,h,Neytpoh,n
Amazonia,Bardigan,u,GhostDragon,h
Terenas Stand LV,Lin Guagua,o,Anxi,u
Echo Isles,SpoKi,n,WaN,u
Echo Isles,Hipposaur,h,ToM,o
Last Refuge,InsoliTe,u,BlaST9Z,o
Last Refuge,Ark,n,Deuce,u
Amazonia,Please,n,Blade,h
Terenas Stand LV,Deuce,u,Rottereye,n
Northern Isles,LiiLD.C,n,EnTe,u
Concealed Hill,Fly100%,o,Moon,n
Amazonia,KraV,u,Edo,u
Northern Isles,VortiX,u,Happy,u
Turtle Rock,FoCuS,o,Eer0,u
Northern Isles,ThundeR,h,Please,n
Last Refuge,SyDe,u,Blade,h
Amazonia,INSUPERABLE,u,DirtBag,h
Concealed Hill,LawLiet,n,Fortitude,h
Amazonia,Chaemiko,h,XiaoKai,u
Amazonia,Neytpoh,n,Yaremag,h
Echo Isles,ToM,o,Fish,h
Amazonia,X3-DemoN,h,Delta,n
Last Refuge,Hitman,o,INSUPERABLE,u
Last Refuge,Fish,h,PalleS,h
Northern Isles,Neytpoh,n,Inspired,h
Northern Isles,Soin,o,ThundeR,h
Concealed Hill,LawLiet,n,XiaoKai,u
Concealed Hill,HoT,n,Eye-Servant,u
Terenas Stand LV,LawLiet,n,Moon,n
Northern Isles,ArminvB,o,Simba,h
Turtle Rock,Yumiko,h,Zhou Xixi,n
Northern Isles,Quberte,u,ReaVeR,h
Concealed Hill,Flopoks,u,Ajk,n
Last Refuge,Ze1Ko,h,Seal,o
Echo Isles,Happy,u,Michael,u
Concealed Hill,Hitman,o,GodFather,u
Twisted Meadows,Lnclnerator,o,HumanKingTom,h
Twisted Meadows,Neytpoh,n,SyDe,u
Concealed Hill,Counting1,h,PhiLbOiS,n
Zul'Alor,Cash,o,Sheik,u
Last Refuge,CoopeR,h,X3-DemoN,h
Amazonia,KraV,u,JohnnyCage,h
Concealed Hill,Please,n,YoungUndead,u
Northern Isles,Moon,n,Fly100%,o
Amazonia,Chaemiko,h,Soin,o
Northern Isles,15sui,n,Pink,u
Last Refuge,Dise,n,Skutt,u
Echo Isles,Dise,n,Ag3nt,h
Terenas Stand LV,Infi,h,Colorful,n
Echo Isles,TeRRoR,u,XlorD,u
Amazonia,Happy,u,Sonik,n
Last Refuge,Sonik,n,SyDe,u
Concealed Hill,Deathnote,h,Dise,n
Amazonia,Sonik,n,Patco,h
Concealed Hill,Philiwarrior,o,Helbisch,u
Tidehunters,TGW,u,ToX,h
Northern Isles,SaysO,u,HellRaiseR,u
Echo Isles,Hitman,o,Ark,n
Last Refuge,Sok,h,Infi,u
Concealed Hill,Please,n,ThundeR,h
Echo Isles,Dise,n,KraV,u
Last Refuge,Franzyzz,o,Drunken,h
Amazonia,DrK,o,Totoro,n
Concealed Hill,Hitman,o,INSUPERABLE,u
Last Refuge,Michael,u,ToD,h
Autumn Leaves,Ze1Ko,h,ZeLL,h
Last Refuge,Aeb,u,LuTr,o
Echo Isles,Fish,h,Dise,n
Last Refuge,LawLiet,n,FoCuS,o
Autumn Leaves,Sheik,u,Wiz,n
Turtle Rock,Happy,u,Sheik,u
Twisted Meadows,PhoeNix,n,SaiDe,n
Turtle Rock,Meecro,n,Quberte,u
Amazonia,MisterWinner,h,ArminvB,o
Terenas Stand LV,ThundeR,h,Deathnote,h
Northern Isles,Hunter,n,Alexchen,n
Last Refuge,TGW,u,Sheik,u
Turtle Rock,Please,n,Peterpan,n
Concealed Hill,Drunken,h,Franzyzz,o
Turtle Rock,Sini,n,Decadent God,o
Amazonia,HoT,n,Biko,u
Turtle Rock,Ark,n,淹死的Fish,h
Echo Isles,Moon,n,WFZ,u
Northern Isles,ToD,h,Please,n
Northern Isles,Soin,o,ThundeR,h
Northern Isles,Happy,u,HawK,h
Amazonia,Fish,h,Sonik,n
Terenas Stand LV,MisterWinner,h,Steler,o
Last Refuge,Biko,u,Sixb0nes,h
Amazonia,Lyn,o,Fortitude,h
Concealed Hill,Chaemiko,h,Fly100%,o
Turtle Rock,SyDe,u,Alice,n
Talonrift Coast,Happy,u,TGW,u
Amazonia,HoT,n,TeRRoR,u
Last Refuge,Inspired,h,PteN,o
Concealed Hill,SyDe,u,ThundeR,h
Northern Isles,Dise,n,ThorZaIN,h
Last Refuge,KraV,u,SeTh,n
Last Refuge,Wiz,n,InsoliTe,u
Last Refuge,Cash,o,Sonik,n
Terenas Stand LV,ZeLL,h,Nujabes,h
Amazonia,Sooo Unreal,h,PriesT,h
Last Refuge,TimberOwls,h,Rennaissanse,n
Echo Isles,BsK,u,Celebrate,o
Concealed Hill,XeLSinG,o,Loiu,o
Terenas Stand LV,Dise,n,Sixb0nes,h
Northern Isles,Happy,u,HawK,h
Last Refuge,GuvnoR,u,Kocur86,u
Amazonia,Foggy,n,HammBamm,h
Amazonia,Deathnote,h,Bido,h
Last Refuge,Mosura,u,Gonz,n
Northern Isles,ToD,h,Edo,u
Concealed Hill,Sok,h,Lyn,o
Twisted Meadows,Happy,u,Foggy,n
Northern Isles,KiWiKaKi,o,Quberte,u
Terenas Stand LV,WaN,u,CoopeR,o
Northern Isles,ToRReNtE,n,MisterWinner,h
Last Refuge,Sonik,n,Please,n
Amazonia,Powlok,h,Ower,u
Terenas Stand LV,Infi,h,Eer0,u
Amazonia,Foggy,n,FoCuS,o
Northern Isles,Happy,u,Paladyn,n
Last Refuge,Aware,h,Rheagal,u
Northern Isles,Moon,n,Colorful,n
Last Refuge,Darkness,u,TekRicket,n
Northern Isles,Cement,u,MisterWinner,h
Concealed Hill,Colorful,n,Sok,h
Turtle Rock,Hunter,n,Lubber,u
Tidehunters,X3-DemoN,h,Petr22483,n
Amazonia,TGW,h,Ower,u
Northern Isles,Sok,h,FoCuS,o
Last Refuge,Deuce,u,OC,n
Last Refuge,SyDe,u,KraV,u
Echo Isles,FpXy,n,Arma,o
Northern Isles,Fortitude,h,Sini,n
Echo Isles,Michael,u,Sonik,h
Twisted Meadows,CrunCher,o,Deuce,u
Echo Isles,Eer0,u,Soin,o
Northern Isles,VortiX,u,CoopeR,o
Concealed Hill,CrunCher,h,Deuce,u
Amazonia,Michael,u,Sheik,u
Last Refuge,Scower,o,Helbisch,u
Concealed Hill,Please,n,HawK,h
Last Snow,Sonik,n,Neytpoh,n
Last Refuge,MisterWinner,h,Papandos,o
Northern Isles,Fortitude,h,Fast,o
Last Refuge,TeRRoR,u,Nima8,h
Northern Isles,ToM,o,Fish,h
Last Refuge,TeRRoR,u,Sonik,n
Last Refuge,MisterWinner,h,Rav3n,u
Turtle Rock,Michael,u,JohnnyCage,h
Northern Isles,INSUPERABLE,u,KiWiKaKi,o
Northern Isles,Sonik,n,Sheik,u
Last Refuge,Ludovik,n,Totoro,n
Echo Isles,AtheistP,h,MisterWinner,h
Last Refuge,Please,n,Borisanimal,n
Twisted Meadows,Sonik,n,LawLiet,n
Twisted Meadows,NoV,o,Vitichka,n
Amazonia,EnTe,u,CoopeR,o
Concealed Hill,Hitman,n,Soulglider,h
Concealed Hill,ArminvB,o,Simba,h
Talonrift Coast,Cash,o,Sheik,u
Zul'Alor,Star21,u,Sixb0nes,h
Last Refuge,Mosura,u,Cement,u
Amazonia,X3-DemoN,h,Wild (Romanian player),u
Amazonia,Lado,n,Sunny,h
Amazonia,Please,n,Edo,u
Last Refuge,Sheik,u,Please,n
Turtle Rock,Hitman,o,INSUPERABLE,u
Echo Isles,Temskiy,o,JohnyF,h
Echo Isles,FoCuS,o,Chaemiko,h
Northern Isles,Edo,u,JokeRn,n
Last Refuge,Sheik,u,Smurf,n
Echo Isles,Nase,h,LICHTKOENING,u
Echo Isles,ThundeR,h,Starshaped,n
Northern Isles,Fish,h,Ceron,n
Echo Isles,Lin Guagua,u,Alice,u
Concealed Hill,KraV,u,EnTe,u
Concealed Hill,Sheik,u,Sonik,n
Northern Isles,Foggy,n,Dt.father,o
Last Refuge,Lyn,o,Infi,n
Twisted Meadows,Lyn,o,Fly100%,o
Turtle Rock,XiaoKai,u,Soin,o
Concealed Hill,Infi,u,Eer0,u
Terenas Stand LV,RaZZoRMaN,o,Sonik,n
Echo Isles,SyDe,u,SaiDe,n
Last Refuge,Fortitude,h,Zhou Xixi,n
Amazonia,XlorD,u,Drunken,h
Terenas Stand LV,HawK,h,VortiX,u
Twisted Meadows,Fly100%,o,FoCuS,o
Concealed Hill,Spiral,n,Edo,u
Echo Isles,Michael,u,Lyn,o
Last Refuge,ZeLL,h,SeTh,n
Twisted Meadows,Celebrate,o,Rennaissanse,n
Turtle Rock,Blade,h,DowaQ,u
Last Refuge,CrunCher,n,KiWiKaKi,o
Last Refuge,Aeb,u,Believe (Canadian player),n
Amazonia,Foggy,n,Powlok,h
Concealed Hill,XeLSinG,o,Mosura,u
Concealed Hill,Dise,n,Please,n
Echo Isles,Michael,u,TH000,n
Northern Isles,SaysO,o,Duck,u
Echo Isles,Soin,o,Yange,n
Twisted Meadows,DeMiGoD,o,PhoeNix,n
Last Refuge,ArminvB,o,Flexo,n
Last Refuge,Fortitude,h,Sok,h
Northern Isles,Soin,o,Kaho,n
Last Refuge,Sheik,u,Neytpoh,n
Autumn Leaves,Sonik,n,Biko,u
Concealed Hill,Paxa,u,ArminvB,o
Last Refuge,Sonik,n,WaN,u
Northern Isles,Dise,n,Sonik,n
Turtle Rock,Fortitude,h,Sini,n
Northern Isles,Sonik,n,Cash,o
Amazonia,EnTe,u,Edo,u
Last Refuge,Biko,u,Hipposaur,h
Amazonia,Mosura,u,Hipposaur,h
Concealed Hill,Happy,u,Foggy,n
Northern Isles,Please,n,SyDe,u
Twisted Meadows,Lin Guagua,o,Anxi,u
Echo Isles,15sui,n,Pink,u
Concealed Hill,Sok,h,Sheik,u
Northern Isles,ToM,o,Ag3nt,h
Turtle Rock,Sheik,u,MisterWinner,h
Last Refuge,Kevin,n,EnTe,u
Concealed Hill,KraV,u,LongWalk,n
Twisted Meadows,Happy,u,Sonik,n
Last Refuge,JarAsH,o,Totoro,n
Last Refuge,Ze1Ko,h,DesTr0,h
Northern Isles,Foggy,n,FoCuS,o
Concealed Hill,Heisman,h,CarsoNNN,o
Echo Isles,Ark,n,INSUPERABLE,u
Amazonia,Fly100%,o,Fortitude,h
Last Refuge,Moon,n,Fly100%,o
Echo Isles,Sini,n,ThundeR,h
Concealed Hill,Michael,u,Eer0,u
Twisted Meadows,Sonik,n,Klemutz,o
Northern Isles,Sok,h,Sheik,u
Northern Isles,CrunCher,h,Hitman,o
Terenas Stand LV,ThundeR,h,TGW,u
Last Refuge,SaiDe,n,Utenadu13,n
Concealed Hill,Sheik,u,ThundeR,h
Amazonia,PriesT,h,Dazzle,h
Concealed Hill,Arma,o,RichApM,u
Concealed Hill,Fly100%,o,Eer0,u
Concealed Hill,Happy,u,XeLSinG,o
Turtle Rock,Sonik,n,Sheik,u
Terenas Stand LV,Chaemiko,h,LawLiet,n
Echo Isles,Sheik,u,TGW,u
Echo Isles,Colorful,n,Foggy,n
Concealed Hill,Happy,u,Foggy,n
Zul'Alor,Neytpoh,n,Sheik,u
Amazonia,MisterWinner,h,SDmK,u
Last Refuge,HawK,h,TGW,u
Concealed Hill,Nujabes,h,BATOu,h
Last Refuge,Freshwind,u,Lilyal,u
Concealed Hill,ThundeR,h,Sonik,n
Northern Isles,Happy,u,Michael,u
Echo Isles,Soin,o,Colorful,n
Amazonia,Ark,n,INSUPERABLE,u
Last Refuge,Fly100%,o,Chaemiko,h
Amazonia,Happy,u,Foggy,n
Amazonia,BlaST9Z,n,InsoliTe,u
Concealed Hill,Happy,u,HawK,h
Echo Isles,Dise,n,TGW,u
Concealed Hill,LawLiet,n,Chaemiko,h
Northern Isles,Daille,h,BlaST9Z,n
Amazonia,EnTe,u,Edo,u
Amazonia,TGW,u,HoT,n
Echo Isles,XiaoKai,u,SuperBT,o
Northern Isles,SpoKi,h,Philiwarrior,o
Amazonia,MisterWinner,h,HammBamm,h
Concealed Hill,Foggy,n,JohnnyCage,h
Concealed Hill,Neytpoh,n,Dise,n
Twisted Meadows,Fly100%,o,Lyn,o
Concealed Hill,Seal,o,InsoliTe,u
Turtle Rock,Please,n,Blade,h
Last Refuge,Michael,u,Soulful,h
Echo Isles,Flopoks,u,MisterWinner,h
Concealed Hill,Neytpoh,n,Please,n
Northern Isles,EnTe,u,ToD,o
Northern Isles,LongWalk,n,Philiwarrior,o
Amazonia,Ag3nt,h,Fog,n
Last Refuge,Fly100%,o,Sok,h
Concealed Hill,AtheistP,h,TGW,u
Amazonia,Deathnote,h,MisterWinner,h
Echo Isles,Pink,u,XiaoKai,o
Northern Isles,CoopeR,o,VLADZISLAU,o
Amazonia,Drunken,h,MisterWinner,h
Echo Isles,FoCuS,o,Lyn,o
Amazonia,Ze1Ko,h,BlaST9Z,n
Amazonia,Starshaped,n,AleksMenma,TBD
Concealed Hill,Chaemiko,h,LawLiet,n
Northern Isles,Ceron,n,Divine,u
Echo Isles,Chaemiko,h,FoCuS,o
Terenas Stand LV,Alice,n,Yumiko,u
Concealed Hill,Chaemiko,h,Soin,o
Amazonia,Foggy,n,Dise,n
Northern Isles,JohnnyCage,h,TGW,u
Last Refuge,Sonik,n,MisterWinner,h
Concealed Hill,Foggy,n,Michael,u
Echo Isles,Ice orc,o,Fast,o
Amazonia,Mango,u,Yumiko,h
Amazonia,GoStyle,o,Kocur86,u
Last Refuge,Bug,o,Yumiko,o
Turtle Rock,ToX,u,Ag3nt,h
Amazonia,Happy,u,Lion9,u
Amazonia,Spiral,o,Edo,u
Last Refuge,Fish,h,BoO,u
Concealed Hill,Biko,u,Bee,n
Last Refuge,Sonik,n,Cement,u
Echo Isles,Ser,u,Aeb,u
Echo Isles,Sok,h,Infi,n
Northern Isles,X3-DemoN,h,ShaDai,h
Concealed Hill,Chaemiko,h,Sok,h
Northern Isles,Happy,u,Sonik,n
Northern Isles,Michael,u,Ze1Ko,h
Concealed Hill,Please,n,Smurf,u
Turtle Rock,Zhou Xixi,n,Yumiko,o
Zul'Alor,Neytpoh,n,TGW,u
Last Refuge,WaN,u,Philiwarrior,o
Echo Isles,Sonik,n,Klemutz,o
Terenas Stand LV,Hitman,o,KiWiKaKi,o
Northern Isles,Ser,u,Gonz,n
Last Refuge,Michael,u,TeRRoR,u
Northern Isles,Eer0,u,FoCuS,o
Last Refuge,Sonik,n,XlorD,u
Concealed Hill,Franzyzz,o,Philiwarrior,o
Echo Isles,Tak3r,o,Skutt,u
Last Refuge,DeMiGoD,o,PhoeNix,n
Northern Isles,Dise,n,Fish,h
Turtle Rock,Biko,u,Ajk,n
Last Refuge,Sok,h,Fly100%,o
Concealed Hill,Sooo Unreal,h,HartCrane,o
Last Refuge,Sok,h,Lyn,o
Terenas Stand LV,Dise,n,Maru,h
Terenas Stand LV,KraV,o,InsoliTe,u
Turtle Rock,NoTrixZ,n,ArminvB,o
Terenas Stand LV,DBMMM,o,Orbiti,h
Northern Isles,War3Orcer0,o,舜天战斗,n
Echo Isles,Fortitude,h,Fly100%,o
