Map,Winner,Winner race,Loser,Loser race
Amazonia,SeTh,n,BlaST9Z,o
Last Snow,Starshaped,n,Dise,n
Last Refuge,Infi,h,Moon,n
Last Refuge,WaN,u,LongWalk,n
Amazonia,Happy,u,ThundeR,h
Last Refuge,Walter,n,Hailua,h
Last Refuge,CoopeR,o,Blade,h
Last Refuge,SDmK,u,Maru,h
Concealed Hill,NovA (Iranian player),u,Loopin,u
Terenas Stand LV,Infi,u,Colorful,n
Concealed Hill,ToM,o,Hipposaur,h
Shattered Exile,Inspired,h,NotFletch,TBD
Amazonia,Michael,u,Wiz,n
Northern Isles,Happy,u,Lion9,u
Last Refuge,ToM,o,Helbisch,u
Terenas Stand LV,LawLiet,n,Chaemiko,h
Terenas Stand LV,Michael,u,Foggy,n
Last Refuge,BlaST9Z,o,DesTr0,h
Last Refuge,Fast,o,Mango,u
Amazonia,Eer0,u,Lin Guagua,o
Terenas Stand LV,Fortitude,h,Zhou Xixi,n
Last Refuge,XlorD,u,ToD,h
Northern Isles,Dise,n,Cement,u
Last Refuge,Hitman,o,CrunCher,h
Concealed Hill,Aserinox,u,Fish,h
Concealed Hill,SyDe,u,Please,n
Concealed Hill,Seal,o,BlaST9Z,o
Last Refuge,EnTe,u,MisterWinner,h
Last Refuge,SpiritLink,h,MRVNNN,o
Amazonia,Yange,n,Bido,h
Concealed Hill,Happy,u,Bizzare,o
Echo Isles,Foggy,n,Dise,n
Last Refuge,EnTe,u,Edo,u
Northern Isles,ToD,h,Kevin,n
Amazonia,ThorZaIN,h,SaiDe,n
Turtle Rock,Lyn,o,FoCuS,o
Echo Isles,Michael,u,Sonik,n
Northern Isles,Mango,u,Fast,o
Terenas Stand LV,Foggy,n,XlorD,u
Amazonia,Fast,o,Bike,h
Last Refuge,Biko,u,Ower,u
Last Refuge,Moon,n,Eer0,u
Concealed Hill,Sonik,n,Cement,u
Echo Isles,TeRRoR,u,INSUPERABLE,u
Amazonia,CoopeR,o,MisterWinner,h
Turtle Rock,LawLiet,n,Soin,o
Concealed Hill,Hunter,n,ArminvB,o
Concealed Hill,HoT,n,TeRRoR,u
Turtle Rock,Sonik,n,MisterWinner,h
Concealed Hill,Sonik,n,YoungUndead,u
Terenas Stand LV,Ceron,n,Deuce,u
Last Refuge,Fly100%,o,Moon,n
Concealed Hill,ThorZaIN,h,Edo,u
Last Refuge,Sonik,n,Chiko,o
Concealed Hill,SeTh,n,Seal,o
Twisted Meadows,SaiDe,n,HoT,n
Amazonia,ToX,u,Changer,h
Amazonia,Sok,h,Fortitude,h
Concealed Hill,RaGsen,o,LongWalk,n
Echo Isles,Please,n,ToD,h
Last Refuge,Please,n,Dise,n
Northern Isles,MisterWinner,h,SexySeaHorse,n
Concealed Hill,Edo,u,ToM,o
Concealed Hill,15sui,h,Bzddd,n
Last Refuge,Yange,n,Pink,u
Last Refuge,Sonik,n,CoopeR,o
Amazonia,Pain,u,PhiLbOiS,n
Last Refuge,LawLiet,n,Michael,u
Northern Isles,Dise,n,Inspired,h
Amazonia,Happy,u,Hipposaur,h
Concealed Hill,Eer0,u,Michael,u
Concealed Hill,ArminvB,o,Chuuti,n
Amazonia,Foggy,n,ReseT,n
Echo Isles,FoCuS,o,Hitman,o
Last Refuge,Foggy,n,Sonik,n
Last Refuge,Evanescence,n,Mosura,u
Last Refuge,Blade,h,LiiLD.C,n
Northern Isles,Soin,o,Lin Guagua,o
Last Refuge,WaN,u,XlorD,u
Concealed Hill,Seal,o,Ze1Ko,h
Echo Isles,Infi,h,LawLiet,n
Last Refuge,Lyn,o,Moon,n
Northern Isles,ToM,o,Rigety,o
Last Refuge,Moon,n,TH000,h
Northern Isles,Please,n,YoungUndead,u
Echo Isles,Eer0,u,FoCuS,o
Northern Isles,Fly100%,o,Sok,h
